Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-04-21 14:56,1,0,0,1,1,3,9,2,2,2,0,2,,#27 Daniel Zhang,#19 Ben Wang
2017-04-21 15:03,2,1,0,0,1,1,5,0,0,0,1,0,#27 Daniel Zhang,#19 Ben Wang,Melody Zheng
2017-04-21 15:05,3,2,0,0,0,0,0,0,0,0,0,0,,,
2017-04-21 15:07,4,2,1,1,1,1,8,0,0,0,0,0,#27 Daniel Zhang,#22 Paul Simpson,#69 Justin Chen
2017-04-21 15:10,5,3,1,0,0,4,14,4,2,2,4,0,,,
2017-04-21 15:16,6,3,2,1,1,3,7,2,1,1,2,0,#27 Daniel Zhang,#22 Paul Simpson,#1 Joyce Wang
2017-04-21 15:19,7,4,2,0,1,3,3,2,1,1,2,1,,#22 Paul Simpson,#27 Daniel Zhang
2017-04-21 15:25,8,5,2,0,1,1,1,0,0,0,0,1,,#22 Paul Simpson,#19 Ben Wang
2017-04-21 15:27,9,6,2,0,1,1,1,0,0,0,0,1,,#27 Daniel Zhang,#41 Billy Ni
2017-04-21 15:29,10,7,2,0,0,2,3,2,1,1,1,1,,,
2017-04-21 15:35,11,7,3,1,0,2,6,2,2,0,1,0,,,
2017-04-21 15:38,12,7,4,1,1,2,7,1,1,0,0,1,,#22 Paul Simpson,#19 Ben Wang
2017-04-21 15:40,13,8,4,0,1,3,13,2,0,2,1,2,#1 Joyce Wang,#22 Paul Simpson,#19 Ben Wang
2017-04-21 15:44,14,9,4,0,1,3,6,2,1,1,0,3,#41 Billy Ni,#27 Daniel Zhang,#76 Jack Xia
2017-04-21 15:47,15,10,4,0,0,1,4,1,1,0,0,1,,,
2017-04-21 15:51,16,10,5,1,0,4,17,4,2,2,1,2,,,
2017-04-21 15:56,17,10,6,1,1,1,5,0,0,0,0,0,#1 Joyce Wang,#22 Paul Simpson,#19 Ben Wang
2017-04-21 15:58,18,11,6,0,1,8,16,6,4,2,1,7,#27 Daniel Zhang,#22 Paul Simpson,#76 Jack Xia
2017-04-21 16:07,19,12,6,0,1,7,11,6,4,2,3,4,#1 Joyce Wang,#22 Paul Simpson,#27 Daniel Zhang
2017-04-21 16:13,20,13,6,0,0,0,0,0,0,0,0,0,,,
