Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2017-03-11 13:38,1,0,0,1,1,2,7,1,1,0,0,1,#69 Justin Chen,#2 Jamie Chen,#19 Ben Wang
2017-03-11 13:41,2,1,0,0,1,2,6,1,1,0,1,1,#14 Cecilia Wu,#69 Justin Chen,#27 Daniel Zhang
2017-03-11 13:44,3,2,0,0,0,2,9,2,2,0,1,1,,,
2017-03-11 13:48,4,2,1,1,0,10,22,10,6,4,3,6,,,
2017-03-11 13:58,5,2,2,1,1,8,17,6,3,3,4,3,#22 Paul Simpson,#69 Justin Chen,#19 Ben Wang
2017-03-11 14:08,6,3,2,0,1,1,1,0,0,0,1,0,,#22 Paul Simpson,#2 Jamie Chen
2017-03-11 14:10,7,4,2,0,0,4,7,4,1,3,2,2,,,
2017-03-11 14:16,8,4,3,1,1,6,19,5,5,0,3,2,#69 Justin Chen,#22 Paul Simpson,#2 Jamie Chen
2017-03-11 14:22,9,5,3,0,0,0,0,0,0,0,0,0,,,
