Player,Points played total,Points played,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Average completed throw distance (m),Average completed throw gain (m),Average incomplete throw distance (m),Average incomplete throw gain (m),Average caught pass distance (m),Average caught pass gain (m)
#27 Daniel Zhang,13,"1,2,3,4,5,6,7,8,10,11,12,13,14",27,12,27,7,20,9,2,0,4,4,0,3,0,0,23.13,19.71,28.79,27.41,11.05,0.71
Oscar Yao,9,"4,5,6,7,9,10,11,12,13",8,6,5,8,0,0,0,3,3,2,1,1,0,0,10.84,2.10,12.84,12.69,23.52,22.08
#1 Joyce Wang,9,"1,2,3,4,5,7,12,13,14",5,4,5,2,3,0,2,0,0,0,0,3,0,0,14.12,8.07,0.00,0.00,12.01,8.35
#30 Jimmy Peng,9,"2,4,5,8,9,10,12,13,14",2,2,0,2,0,0,0,2,0,0,0,3,0,0,0.00,0.00,0.00,0.00,19.81,19.62
#19 Ben Wang,8,"1,3,6,7,11,12,13,14",8,7,2,7,1,1,0,6,0,0,0,1,0,0,12.34,12.31,0.00,0.00,33.17,32.73
#25 Alex Chen,8,"3,5,6,7,9,10,11,14",2,2,2,2,0,0,0,0,0,0,0,0,0,0,15.27,-2.48,0.00,0.00,14.70,3.90
#66 Jerry Chen,8,"2,4,5,8,11,12,13,14",2,2,2,2,0,0,1,0,0,0,0,2,0,0,12.15,-0.06,0.00,0.00,18.95,17.70
#28 Tina Zhu,8,"2,3,8,9,10,12,13,14",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#41 Billy Ni,6,"1,2,4,8,9,10",3,3,2,3,0,1,1,1,1,0,1,0,0,0,10.72,10.58,0.00,0.00,25.31,19.76
#14 Cecilia Wu,6,"1,2,3,4,6,7",10,5,9,9,1,1,0,1,3,3,0,0,0,0,21.65,12.19,21.60,21.41,14.26,5.95
#55 Tigger Li,6,"1,3,6,7,8,9",8,3,8,5,3,1,0,0,3,2,1,0,0,0,21.17,15.00,60.94,60.02,13.50,0.47
Melody Zheng,5,"1,6,9,10,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
#0 Julie Luo,3,"5,8,11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
